Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.751546
data/Set68/test002.png PSNR 27.835802
data/Set68/test003.png PSNR 27.390096
data/Set68/test004.png PSNR 28.005118
data/Set68/test005.png PSNR 25.997758
data/Set68/test006.png PSNR 29.314916
data/Set68/test007.png PSNR 26.713459
data/Set68/test008.png PSNR 24.971933
data/Set68/test009.png PSNR 27.159592
data/Set68/test010.png PSNR 27.338379
data/Set68/test011.png PSNR 26.677099
data/Set68/test012.png PSNR 26.299357
data/Set68/test013.png PSNR 27.237585
data/Set68/test014.png PSNR 27.882957
data/Set68/test015.png PSNR 25.721193
data/Set68/test016.png PSNR 26.251250
data/Set68/test017.png PSNR 29.442158
data/Set68/test018.png PSNR 29.200811
data/Set68/test019.png PSNR 26.372088
data/Set68/test020.png PSNR 26.887755
data/Set68/test021.png PSNR 24.907771
data/Set68/test022.png PSNR 25.409940
data/Set68/test023.png PSNR 26.566402
data/Set68/test024.png PSNR 26.880206
data/Set68/test025.png PSNR 27.261634
data/Set68/test026.png PSNR 26.701761
data/Set68/test027.png PSNR 27.604810
data/Set68/test028.png PSNR 30.477500
data/Set68/test029.png PSNR 23.268963
data/Set68/test030.png PSNR 27.296397
data/Set68/test031.png PSNR 23.341903
data/Set68/test032.png PSNR 25.191597
data/Set68/test033.png PSNR 25.944960
data/Set68/test034.png PSNR 29.165735
data/Set68/test035.png PSNR 26.386270
data/Set68/test036.png PSNR 25.685660
data/Set68/test037.png PSNR 26.730797
data/Set68/test038.png PSNR 26.998086
data/Set68/test039.png PSNR 29.199792
data/Set68/test040.png PSNR 26.997058
data/Set68/test041.png PSNR 26.176635
data/Set68/test042.png PSNR 27.275562
data/Set68/test043.png PSNR 27.886421
data/Set68/test044.png PSNR 25.609491
data/Set68/test045.png PSNR 28.876778
data/Set68/test046.png PSNR 24.882359
data/Set68/test047.png PSNR 25.161035
data/Set68/test048.png PSNR 27.444693
data/Set68/test049.png PSNR 28.768118
data/Set68/test050.png PSNR 25.471891
data/Set68/test051.png PSNR 26.201384
data/Set68/test052.png PSNR 28.700463
data/Set68/test053.png PSNR 28.264477
data/Set68/test054.png PSNR 26.761468
data/Set68/test055.png PSNR 26.044254
data/Set68/test056.png PSNR 22.964530
data/Set68/test057.png PSNR 26.530613
data/Set68/test058.png PSNR 27.971307
data/Set68/test059.png PSNR 27.809022
data/Set68/test060.png PSNR 27.878720
data/Set68/test061.png PSNR 27.722140
data/Set68/test062.png PSNR 30.240651
data/Set68/test063.png PSNR 25.128675
data/Set68/test064.png PSNR 25.384418
data/Set68/test065.png PSNR 27.248645
data/Set68/test066.png PSNR 29.855925
data/Set68/test067.png PSNR 23.673374
data/Set68/test068.png PSNR 24.892041

PSNR on test data 26.827841
