Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.650112
data/Set68/test002.png PSNR 27.558262
data/Set68/test003.png PSNR 27.131144
data/Set68/test004.png PSNR 27.844697
data/Set68/test005.png PSNR 25.908678
data/Set68/test006.png PSNR 29.050297
data/Set68/test007.png PSNR 26.584697
data/Set68/test008.png PSNR 24.915652
data/Set68/test009.png PSNR 27.026663
data/Set68/test010.png PSNR 27.116121
data/Set68/test011.png PSNR 26.540454
data/Set68/test012.png PSNR 26.137026
data/Set68/test013.png PSNR 26.983650
data/Set68/test014.png PSNR 27.835987
data/Set68/test015.png PSNR 25.616464
data/Set68/test016.png PSNR 26.212960
data/Set68/test017.png PSNR 29.220300
data/Set68/test018.png PSNR 28.870169
data/Set68/test019.png PSNR 26.303157
data/Set68/test020.png PSNR 26.689010
data/Set68/test021.png PSNR 24.835775
data/Set68/test022.png PSNR 25.343306
data/Set68/test023.png PSNR 26.471713
data/Set68/test024.png PSNR 26.742865
data/Set68/test025.png PSNR 27.129338
data/Set68/test026.png PSNR 26.645996
data/Set68/test027.png PSNR 27.386994
data/Set68/test028.png PSNR 30.125109
data/Set68/test029.png PSNR 23.257882
data/Set68/test030.png PSNR 27.081959
data/Set68/test031.png PSNR 23.350863
data/Set68/test032.png PSNR 25.171906
data/Set68/test033.png PSNR 26.032335
data/Set68/test034.png PSNR 28.995555
data/Set68/test035.png PSNR 26.295957
data/Set68/test036.png PSNR 25.665552
data/Set68/test037.png PSNR 26.599114
data/Set68/test038.png PSNR 26.947218
data/Set68/test039.png PSNR 28.816494
data/Set68/test040.png PSNR 26.878290
data/Set68/test041.png PSNR 26.143861
data/Set68/test042.png PSNR 27.122743
data/Set68/test043.png PSNR 27.642071
data/Set68/test044.png PSNR 25.567626
data/Set68/test045.png PSNR 28.531878
data/Set68/test046.png PSNR 24.786395
data/Set68/test047.png PSNR 25.064411
data/Set68/test048.png PSNR 27.227747
data/Set68/test049.png PSNR 28.336423
data/Set68/test050.png PSNR 25.374547
data/Set68/test051.png PSNR 26.156842
data/Set68/test052.png PSNR 28.441027
data/Set68/test053.png PSNR 28.083700
data/Set68/test054.png PSNR 26.668053
data/Set68/test055.png PSNR 25.943989
data/Set68/test056.png PSNR 22.986407
data/Set68/test057.png PSNR 26.386759
data/Set68/test058.png PSNR 27.845642
data/Set68/test059.png PSNR 27.713441
data/Set68/test060.png PSNR 27.926865
data/Set68/test061.png PSNR 27.503734
data/Set68/test062.png PSNR 29.785084
data/Set68/test063.png PSNR 25.065576
data/Set68/test064.png PSNR 25.275846
data/Set68/test065.png PSNR 27.195492
data/Set68/test066.png PSNR 29.692080
data/Set68/test067.png PSNR 23.579025
data/Set68/test068.png PSNR 24.827808

PSNR on test data 26.688894
