Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.625053
data/Set68/test002.png PSNR 27.422341
data/Set68/test003.png PSNR 27.076561
data/Set68/test004.png PSNR 27.662053
data/Set68/test005.png PSNR 25.637544
data/Set68/test006.png PSNR 28.779798
data/Set68/test007.png PSNR 26.517916
data/Set68/test008.png PSNR 24.820356
data/Set68/test009.png PSNR 26.926152
data/Set68/test010.png PSNR 27.045582
data/Set68/test011.png PSNR 26.447417
data/Set68/test012.png PSNR 26.075783
data/Set68/test013.png PSNR 26.984397
data/Set68/test014.png PSNR 27.596944
data/Set68/test015.png PSNR 25.514593
data/Set68/test016.png PSNR 26.107181
data/Set68/test017.png PSNR 28.961492
data/Set68/test018.png PSNR 28.669079
data/Set68/test019.png PSNR 26.191350
data/Set68/test020.png PSNR 26.625683
data/Set68/test021.png PSNR 24.705193
data/Set68/test022.png PSNR 25.281071
data/Set68/test023.png PSNR 26.335594
data/Set68/test024.png PSNR 26.692877
data/Set68/test025.png PSNR 27.085410
data/Set68/test026.png PSNR 26.520136
data/Set68/test027.png PSNR 27.350743
data/Set68/test028.png PSNR 29.699537
data/Set68/test029.png PSNR 23.208792
data/Set68/test030.png PSNR 27.016339
data/Set68/test031.png PSNR 23.325106
data/Set68/test032.png PSNR 25.058930
data/Set68/test033.png PSNR 25.780205
data/Set68/test034.png PSNR 28.752742
data/Set68/test035.png PSNR 26.129305
data/Set68/test036.png PSNR 25.582249
data/Set68/test037.png PSNR 26.511244
data/Set68/test038.png PSNR 26.739046
data/Set68/test039.png PSNR 28.605135
data/Set68/test040.png PSNR 26.732467
data/Set68/test041.png PSNR 26.078748
data/Set68/test042.png PSNR 27.036554
data/Set68/test043.png PSNR 27.556565
data/Set68/test044.png PSNR 25.479075
data/Set68/test045.png PSNR 28.246803
data/Set68/test046.png PSNR 24.743593
data/Set68/test047.png PSNR 24.952600
data/Set68/test048.png PSNR 27.108767
data/Set68/test049.png PSNR 28.261082
data/Set68/test050.png PSNR 25.262318
data/Set68/test051.png PSNR 25.944114
data/Set68/test052.png PSNR 28.276834
data/Set68/test053.png PSNR 27.882922
data/Set68/test054.png PSNR 26.523009
data/Set68/test055.png PSNR 25.866701
data/Set68/test056.png PSNR 22.950954
data/Set68/test057.png PSNR 26.337317
data/Set68/test058.png PSNR 27.606670
data/Set68/test059.png PSNR 27.494419
data/Set68/test060.png PSNR 27.568991
data/Set68/test061.png PSNR 27.337373
data/Set68/test062.png PSNR 29.828601
data/Set68/test063.png PSNR 25.046194
data/Set68/test064.png PSNR 25.192895
data/Set68/test065.png PSNR 27.048797
data/Set68/test066.png PSNR 29.359199
data/Set68/test067.png PSNR 23.609989
data/Set68/test068.png PSNR 24.765632

PSNR on test data 26.561266
