Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 8.870327
data/Set68/test002.png PSNR 8.196174
data/Set68/test003.png PSNR 8.626561
data/Set68/test004.png PSNR 8.989081
data/Set68/test005.png PSNR 7.813746
data/Set68/test006.png PSNR 8.019788
data/Set68/test007.png PSNR 9.139189
data/Set68/test008.png PSNR 9.195025
data/Set68/test009.png PSNR 9.398993
data/Set68/test010.png PSNR 8.874602
data/Set68/test011.png PSNR 8.734218
data/Set68/test012.png PSNR 8.910789
data/Set68/test013.png PSNR 8.561384
data/Set68/test014.png PSNR 8.982790
data/Set68/test015.png PSNR 8.969256
data/Set68/test016.png PSNR 8.664797
data/Set68/test017.png PSNR 9.324238
data/Set68/test018.png PSNR 9.039127
data/Set68/test019.png PSNR 8.635721
data/Set68/test020.png PSNR 8.712986
data/Set68/test021.png PSNR 8.525316
data/Set68/test022.png PSNR 8.882326
data/Set68/test023.png PSNR 8.121685
data/Set68/test024.png PSNR 8.967992
data/Set68/test025.png PSNR 8.991640
data/Set68/test026.png PSNR 8.675453
data/Set68/test027.png PSNR 9.114401
data/Set68/test028.png PSNR 8.950319
data/Set68/test029.png PSNR 8.546881
data/Set68/test030.png PSNR 8.563897
data/Set68/test031.png PSNR 8.680141
data/Set68/test032.png PSNR 8.638604
data/Set68/test033.png PSNR 8.354056
data/Set68/test034.png PSNR 8.511703
data/Set68/test035.png PSNR 9.090512
data/Set68/test036.png PSNR 8.338717
data/Set68/test037.png PSNR 8.509246
data/Set68/test038.png PSNR 9.065634
data/Set68/test039.png PSNR 8.732773
data/Set68/test040.png PSNR 8.512205
data/Set68/test041.png PSNR 8.979163
data/Set68/test042.png PSNR 8.704818
data/Set68/test043.png PSNR 8.980454
data/Set68/test044.png PSNR 8.368113
data/Set68/test045.png PSNR 8.652893
data/Set68/test046.png PSNR 8.452805
data/Set68/test047.png PSNR 8.616300
data/Set68/test048.png PSNR 8.473293
data/Set68/test049.png PSNR 8.519403
data/Set68/test050.png PSNR 8.064987
data/Set68/test051.png PSNR 8.499920
data/Set68/test052.png PSNR 7.953693
data/Set68/test053.png PSNR 8.013587
data/Set68/test054.png PSNR 8.293194
data/Set68/test055.png PSNR 8.974728
data/Set68/test056.png PSNR 8.119080
data/Set68/test057.png PSNR 9.020389
data/Set68/test058.png PSNR 8.369553
data/Set68/test059.png PSNR 8.877558
data/Set68/test060.png PSNR 8.769950
data/Set68/test061.png PSNR 9.003907
data/Set68/test062.png PSNR 9.509203
data/Set68/test063.png PSNR 8.827669
data/Set68/test064.png PSNR 8.655691
data/Set68/test065.png PSNR 9.166121
data/Set68/test066.png PSNR 8.548271
data/Set68/test067.png PSNR 8.411451
data/Set68/test068.png PSNR 8.439570

PSNR on test data 8.686736
