Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 7.732111
data/Set68/test002.png PSNR 7.208816
data/Set68/test003.png PSNR 7.734414
data/Set68/test004.png PSNR 7.952479
data/Set68/test005.png PSNR 7.027558
data/Set68/test006.png PSNR 7.178791
data/Set68/test007.png PSNR 7.916683
data/Set68/test008.png PSNR 7.916810
data/Set68/test009.png PSNR 7.940022
data/Set68/test010.png PSNR 7.948105
data/Set68/test011.png PSNR 7.609544
data/Set68/test012.png PSNR 7.963646
data/Set68/test013.png PSNR 7.834573
data/Set68/test014.png PSNR 7.901949
data/Set68/test015.png PSNR 7.788419
data/Set68/test016.png PSNR 7.726391
data/Set68/test017.png PSNR 7.917546
data/Set68/test018.png PSNR 7.969073
data/Set68/test019.png PSNR 7.707941
data/Set68/test020.png PSNR 7.721076
data/Set68/test021.png PSNR 7.469474
data/Set68/test022.png PSNR 7.759763
data/Set68/test023.png PSNR 7.395140
data/Set68/test024.png PSNR 7.706669
data/Set68/test025.png PSNR 7.884318
data/Set68/test026.png PSNR 7.735721
data/Set68/test027.png PSNR 8.001132
data/Set68/test028.png PSNR 7.100437
data/Set68/test029.png PSNR 7.627776
data/Set68/test030.png PSNR 7.847828
data/Set68/test031.png PSNR 7.829459
data/Set68/test032.png PSNR 7.842035
data/Set68/test033.png PSNR 7.639405
data/Set68/test034.png PSNR 7.439648
data/Set68/test035.png PSNR 7.889581
data/Set68/test036.png PSNR 7.850680
data/Set68/test037.png PSNR 7.627323
data/Set68/test038.png PSNR 7.902387
data/Set68/test039.png PSNR 7.872276
data/Set68/test040.png PSNR 7.631271
data/Set68/test041.png PSNR 7.768801
data/Set68/test042.png PSNR 7.794756
data/Set68/test043.png PSNR 7.809146
data/Set68/test044.png PSNR 7.643938
data/Set68/test045.png PSNR 7.958788
data/Set68/test046.png PSNR 7.602863
data/Set68/test047.png PSNR 7.827544
data/Set68/test048.png PSNR 7.366652
data/Set68/test049.png PSNR 7.450243
data/Set68/test050.png PSNR 7.301222
data/Set68/test051.png PSNR 7.794531
data/Set68/test052.png PSNR 7.116479
data/Set68/test053.png PSNR 7.559849
data/Set68/test054.png PSNR 7.605657
data/Set68/test055.png PSNR 7.840392
data/Set68/test056.png PSNR 7.521893
data/Set68/test057.png PSNR 7.974357
data/Set68/test058.png PSNR 7.823145
data/Set68/test059.png PSNR 7.933086
data/Set68/test060.png PSNR 7.982475
data/Set68/test061.png PSNR 7.935420
data/Set68/test062.png PSNR 7.733832
data/Set68/test063.png PSNR 7.813586
data/Set68/test064.png PSNR 7.773366
data/Set68/test065.png PSNR 7.795491
data/Set68/test066.png PSNR 7.919049
data/Set68/test067.png PSNR 7.557224
data/Set68/test068.png PSNR 7.143349

PSNR on test data 7.707285
