Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 25.618163
data/Set68/test002.png PSNR 29.733200
data/Set68/test003.png PSNR 29.215058
data/Set68/test004.png PSNR 30.203669
data/Set68/test005.png PSNR 27.224573
data/Set68/test006.png PSNR 31.826043
data/Set68/test007.png PSNR 28.426929
data/Set68/test008.png PSNR 26.052579
data/Set68/test009.png PSNR 28.655528
data/Set68/test010.png PSNR 29.470775
data/Set68/test011.png PSNR 28.093446
data/Set68/test012.png PSNR 28.095318
data/Set68/test013.png PSNR 29.189317
data/Set68/test014.png PSNR 30.216559
data/Set68/test015.png PSNR 26.960050
data/Set68/test016.png PSNR 27.746458
data/Set68/test017.png PSNR 31.970096
data/Set68/test018.png PSNR 31.958578
data/Set68/test019.png PSNR 27.726894
data/Set68/test020.png PSNR 28.394177
data/Set68/test021.png PSNR 25.961999
data/Set68/test022.png PSNR 26.691551
data/Set68/test023.png PSNR 28.443794
data/Set68/test024.png PSNR 28.352381
data/Set68/test025.png PSNR 28.928687
data/Set68/test026.png PSNR 28.195730
data/Set68/test027.png PSNR 29.580398
data/Set68/test028.png PSNR 32.488950
data/Set68/test029.png PSNR 23.712591
data/Set68/test030.png PSNR 29.489751
data/Set68/test031.png PSNR 24.184761
data/Set68/test032.png PSNR 26.453842
data/Set68/test033.png PSNR 27.260677
data/Set68/test034.png PSNR 32.520412
data/Set68/test035.png PSNR 27.875875
data/Set68/test036.png PSNR 27.270671
data/Set68/test037.png PSNR 28.080870
data/Set68/test038.png PSNR 28.753855
data/Set68/test039.png PSNR 32.140305
data/Set68/test040.png PSNR 28.847222
data/Set68/test041.png PSNR 27.479022
data/Set68/test042.png PSNR 28.960918
data/Set68/test043.png PSNR 29.959277
data/Set68/test044.png PSNR 26.865530
data/Set68/test045.png PSNR 32.002642
data/Set68/test046.png PSNR 26.155973
data/Set68/test047.png PSNR 26.369815
data/Set68/test048.png PSNR 29.302816
data/Set68/test049.png PSNR 30.946169
data/Set68/test050.png PSNR 26.614540
data/Set68/test051.png PSNR 27.916153
data/Set68/test052.png PSNR 31.303093
data/Set68/test053.png PSNR 30.416554
data/Set68/test054.png PSNR 28.746479
data/Set68/test055.png PSNR 27.417371
data/Set68/test056.png PSNR 23.762939
data/Set68/test057.png PSNR 27.913436
data/Set68/test058.png PSNR 30.229261
data/Set68/test059.png PSNR 29.888410
data/Set68/test060.png PSNR 30.377474
data/Set68/test061.png PSNR 29.528554
data/Set68/test062.png PSNR 32.747719
data/Set68/test063.png PSNR 26.213121
data/Set68/test064.png PSNR 26.517842
data/Set68/test065.png PSNR 28.699108
data/Set68/test066.png PSNR 34.988254
data/Set68/test067.png PSNR 24.500750
data/Set68/test068.png PSNR 25.729106

PSNR on test data 28.581824
