Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.858562
data/Set68/test002.png PSNR 28.975341
data/Set68/test003.png PSNR 28.479818
data/Set68/test004.png PSNR 29.319748
data/Set68/test005.png PSNR 26.498176
data/Set68/test006.png PSNR 31.620605
data/Set68/test007.png PSNR 27.476657
data/Set68/test008.png PSNR 25.229096
data/Set68/test009.png PSNR 27.954165
data/Set68/test010.png PSNR 28.576557
data/Set68/test011.png PSNR 27.252278
data/Set68/test012.png PSNR 27.187762
data/Set68/test013.png PSNR 28.367104
data/Set68/test014.png PSNR 29.519879
data/Set68/test015.png PSNR 26.199694
data/Set68/test016.png PSNR 26.758391
data/Set68/test017.png PSNR 31.680426
data/Set68/test018.png PSNR 31.467469
data/Set68/test019.png PSNR 26.825010
data/Set68/test020.png PSNR 27.526810
data/Set68/test021.png PSNR 25.006825
data/Set68/test022.png PSNR 25.904105
data/Set68/test023.png PSNR 27.521449
data/Set68/test024.png PSNR 27.418632
data/Set68/test025.png PSNR 28.244904
data/Set68/test026.png PSNR 27.569963
data/Set68/test027.png PSNR 28.814553
data/Set68/test028.png PSNR 31.757938
data/Set68/test029.png PSNR 22.673104
data/Set68/test030.png PSNR 28.656602
data/Set68/test031.png PSNR 23.413517
data/Set68/test032.png PSNR 25.500051
data/Set68/test033.png PSNR 26.493107
data/Set68/test034.png PSNR 32.096882
data/Set68/test035.png PSNR 27.068833
data/Set68/test036.png PSNR 26.637191
data/Set68/test037.png PSNR 27.401818
data/Set68/test038.png PSNR 27.881176
data/Set68/test039.png PSNR 31.257932
data/Set68/test040.png PSNR 28.182645
data/Set68/test041.png PSNR 26.835505
data/Set68/test042.png PSNR 28.260691
data/Set68/test043.png PSNR 29.070465
data/Set68/test044.png PSNR 26.157165
data/Set68/test045.png PSNR 32.046051
data/Set68/test046.png PSNR 25.296827
data/Set68/test047.png PSNR 25.629355
data/Set68/test048.png PSNR 28.460498
data/Set68/test049.png PSNR 30.513461
data/Set68/test050.png PSNR 25.900250
data/Set68/test051.png PSNR 27.175817
data/Set68/test052.png PSNR 31.006451
data/Set68/test053.png PSNR 30.025189
data/Set68/test054.png PSNR 27.912368
data/Set68/test055.png PSNR 26.538254
data/Set68/test056.png PSNR 23.032846
data/Set68/test057.png PSNR 27.251722
data/Set68/test058.png PSNR 29.891362
data/Set68/test059.png PSNR 29.290699
data/Set68/test060.png PSNR 30.008157
data/Set68/test061.png PSNR 28.856329
data/Set68/test062.png PSNR 31.890694
data/Set68/test063.png PSNR 25.326382
data/Set68/test064.png PSNR 25.850498
data/Set68/test065.png PSNR 27.933456
data/Set68/test066.png PSNR 35.630209
data/Set68/test067.png PSNR 23.550721
data/Set68/test068.png PSNR 24.901887

PSNR on test data 27.875266
