Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 10.854261
data/Set68/test002.png PSNR 9.547853
data/Set68/test003.png PSNR 10.499761
data/Set68/test004.png PSNR 11.355106
data/Set68/test005.png PSNR 8.792516
data/Set68/test006.png PSNR 9.195221
data/Set68/test007.png PSNR 11.481620
data/Set68/test008.png PSNR 11.659076
data/Set68/test009.png PSNR 12.178299
data/Set68/test010.png PSNR 10.954122
data/Set68/test011.png PSNR 10.381567
data/Set68/test012.png PSNR 11.058584
data/Set68/test013.png PSNR 10.367603
data/Set68/test014.png PSNR 11.141569
data/Set68/test015.png PSNR 11.070589
data/Set68/test016.png PSNR 10.403044
data/Set68/test017.png PSNR 12.125969
data/Set68/test018.png PSNR 11.477055
data/Set68/test019.png PSNR 10.398899
data/Set68/test020.png PSNR 10.516401
data/Set68/test021.png PSNR 10.062365
data/Set68/test022.png PSNR 10.823433
data/Set68/test023.png PSNR 9.413224
data/Set68/test024.png PSNR 11.010442
data/Set68/test025.png PSNR 11.211647
data/Set68/test026.png PSNR 10.634250
data/Set68/test027.png PSNR 11.622381
data/Set68/test028.png PSNR 10.649007
data/Set68/test029.png PSNR 10.113511
data/Set68/test030.png PSNR 10.426271
data/Set68/test031.png PSNR 10.553672
data/Set68/test032.png PSNR 10.431987
data/Set68/test033.png PSNR 9.951428
data/Set68/test034.png PSNR 10.026375
data/Set68/test035.png PSNR 11.330125
data/Set68/test036.png PSNR 10.086465
data/Set68/test037.png PSNR 10.159316
data/Set68/test038.png PSNR 11.343705
data/Set68/test039.png PSNR 10.740284
data/Set68/test040.png PSNR 10.120811
data/Set68/test041.png PSNR 11.223188
data/Set68/test042.png PSNR 10.693952
data/Set68/test043.png PSNR 11.073418
data/Set68/test044.png PSNR 10.114371
data/Set68/test045.png PSNR 10.691087
data/Set68/test046.png PSNR 10.011008
data/Set68/test047.png PSNR 10.467175
data/Set68/test048.png PSNR 9.838304
data/Set68/test049.png PSNR 10.110976
data/Set68/test050.png PSNR 9.230094
data/Set68/test051.png PSNR 10.198279
data/Set68/test052.png PSNR 9.081829
data/Set68/test053.png PSNR 9.441085
data/Set68/test054.png PSNR 9.814804
data/Set68/test055.png PSNR 11.185415
data/Set68/test056.png PSNR 9.379762
data/Set68/test057.png PSNR 11.490369
data/Set68/test058.png PSNR 10.084093
data/Set68/test059.png PSNR 11.063810
data/Set68/test060.png PSNR 10.841141
data/Set68/test061.png PSNR 11.362038
data/Set68/test062.png PSNR 12.100321
data/Set68/test063.png PSNR 10.817400
data/Set68/test064.png PSNR 10.556099
data/Set68/test065.png PSNR 11.679667
data/Set68/test066.png PSNR 10.448482
data/Set68/test067.png PSNR 9.861030
data/Set68/test068.png PSNR 9.735935

PSNR on test data 10.570073
