Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.683191
data/Set68/test002.png PSNR 28.856714
data/Set68/test003.png PSNR 28.470757
data/Set68/test004.png PSNR 29.272181
data/Set68/test005.png PSNR 26.354571
data/Set68/test006.png PSNR 31.838343
data/Set68/test007.png PSNR 27.456014
data/Set68/test008.png PSNR 25.043717
data/Set68/test009.png PSNR 27.795440
data/Set68/test010.png PSNR 28.586175
data/Set68/test011.png PSNR 27.251286
data/Set68/test012.png PSNR 27.230971
data/Set68/test013.png PSNR 28.495019
data/Set68/test014.png PSNR 29.274607
data/Set68/test015.png PSNR 26.050233
data/Set68/test016.png PSNR 26.788966
data/Set68/test017.png PSNR 31.496315
data/Set68/test018.png PSNR 31.718677
data/Set68/test019.png PSNR 26.386517
data/Set68/test020.png PSNR 27.567632
data/Set68/test021.png PSNR 25.044835
data/Set68/test022.png PSNR 25.792917
data/Set68/test023.png PSNR 27.515212
data/Set68/test024.png PSNR 27.426316
data/Set68/test025.png PSNR 28.254677
data/Set68/test026.png PSNR 27.519821
data/Set68/test027.png PSNR 28.806541
data/Set68/test028.png PSNR 31.575345
data/Set68/test029.png PSNR 22.409981
data/Set68/test030.png PSNR 28.706042
data/Set68/test031.png PSNR 23.220207
data/Set68/test032.png PSNR 25.466225
data/Set68/test033.png PSNR 26.414869
data/Set68/test034.png PSNR 32.150903
data/Set68/test035.png PSNR 26.844113
data/Set68/test036.png PSNR 26.431207
data/Set68/test037.png PSNR 27.444489
data/Set68/test038.png PSNR 27.802356
data/Set68/test039.png PSNR 31.518655
data/Set68/test040.png PSNR 28.259440
data/Set68/test041.png PSNR 26.528700
data/Set68/test042.png PSNR 28.286012
data/Set68/test043.png PSNR 28.994329
data/Set68/test044.png PSNR 25.950962
data/Set68/test045.png PSNR 31.908818
data/Set68/test046.png PSNR 25.214242
data/Set68/test047.png PSNR 25.548042
data/Set68/test048.png PSNR 28.283185
data/Set68/test049.png PSNR 30.433594
data/Set68/test050.png PSNR 25.806590
data/Set68/test051.png PSNR 27.227599
data/Set68/test052.png PSNR 30.998615
data/Set68/test053.png PSNR 30.241815
data/Set68/test054.png PSNR 27.908896
data/Set68/test055.png PSNR 26.526454
data/Set68/test056.png PSNR 22.459153
data/Set68/test057.png PSNR 27.056899
data/Set68/test058.png PSNR 29.939903
data/Set68/test059.png PSNR 29.167209
data/Set68/test060.png PSNR 29.858135
data/Set68/test061.png PSNR 28.726601
data/Set68/test062.png PSNR 31.837193
data/Set68/test063.png PSNR 25.265748
data/Set68/test064.png PSNR 25.628026
data/Set68/test065.png PSNR 27.727526
data/Set68/test066.png PSNR 35.970838
data/Set68/test067.png PSNR 23.568904
data/Set68/test068.png PSNR 24.662706

PSNR on test data 27.808061
