Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.630391
data/Set68/test002.png PSNR 28.801250
data/Set68/test003.png PSNR 28.544526
data/Set68/test004.png PSNR 29.566041
data/Set68/test005.png PSNR 26.308074
data/Set68/test006.png PSNR 31.997411
data/Set68/test007.png PSNR 27.575164
data/Set68/test008.png PSNR 25.111335
data/Set68/test009.png PSNR 27.913144
data/Set68/test010.png PSNR 28.703245
data/Set68/test011.png PSNR 27.289170
data/Set68/test012.png PSNR 27.329026
data/Set68/test013.png PSNR 28.559765
data/Set68/test014.png PSNR 29.616118
data/Set68/test015.png PSNR 26.129874
data/Set68/test016.png PSNR 26.836148
data/Set68/test017.png PSNR 31.810872
data/Set68/test018.png PSNR 31.891869
data/Set68/test019.png PSNR 26.502778
data/Set68/test020.png PSNR 27.618530
data/Set68/test021.png PSNR 25.033652
data/Set68/test022.png PSNR 25.773194
data/Set68/test023.png PSNR 27.454556
data/Set68/test024.png PSNR 27.538410
data/Set68/test025.png PSNR 28.436725
data/Set68/test026.png PSNR 27.636121
data/Set68/test027.png PSNR 28.888974
data/Set68/test028.png PSNR 31.870929
data/Set68/test029.png PSNR 22.417567
data/Set68/test030.png PSNR 28.816564
data/Set68/test031.png PSNR 23.143339
data/Set68/test032.png PSNR 25.604362
data/Set68/test033.png PSNR 26.405169
data/Set68/test034.png PSNR 32.418074
data/Set68/test035.png PSNR 27.020416
data/Set68/test036.png PSNR 26.416950
data/Set68/test037.png PSNR 27.471159
data/Set68/test038.png PSNR 27.961387
data/Set68/test039.png PSNR 31.651663
data/Set68/test040.png PSNR 28.321047
data/Set68/test041.png PSNR 26.646816
data/Set68/test042.png PSNR 28.381084
data/Set68/test043.png PSNR 29.311887
data/Set68/test044.png PSNR 26.001297
data/Set68/test045.png PSNR 32.118956
data/Set68/test046.png PSNR 25.197938
data/Set68/test047.png PSNR 25.584319
data/Set68/test048.png PSNR 28.411873
data/Set68/test049.png PSNR 30.573810
data/Set68/test050.png PSNR 25.751310
data/Set68/test051.png PSNR 27.292267
data/Set68/test052.png PSNR 30.982450
data/Set68/test053.png PSNR 30.233872
data/Set68/test054.png PSNR 28.004130
data/Set68/test055.png PSNR 26.589510
data/Set68/test056.png PSNR 22.372257
data/Set68/test057.png PSNR 27.118689
data/Set68/test058.png PSNR 30.015424
data/Set68/test059.png PSNR 29.169336
data/Set68/test060.png PSNR 29.954450
data/Set68/test061.png PSNR 28.873609
data/Set68/test062.png PSNR 32.385850
data/Set68/test063.png PSNR 25.268691
data/Set68/test064.png PSNR 25.617947
data/Set68/test065.png PSNR 27.930859
data/Set68/test066.png PSNR 36.246487
data/Set68/test067.png PSNR 23.624106
data/Set68/test068.png PSNR 24.661561

PSNR on test data 27.901997
