Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 24.636538
data/Set68/test002.png PSNR 28.741503
data/Set68/test003.png PSNR 28.498510
data/Set68/test004.png PSNR 29.557014
data/Set68/test005.png PSNR 26.304119
data/Set68/test006.png PSNR 31.960241
data/Set68/test007.png PSNR 27.658077
data/Set68/test008.png PSNR 25.095232
data/Set68/test009.png PSNR 28.040022
data/Set68/test010.png PSNR 28.722093
data/Set68/test011.png PSNR 27.237459
data/Set68/test012.png PSNR 27.350871
data/Set68/test013.png PSNR 28.574088
data/Set68/test014.png PSNR 29.625966
data/Set68/test015.png PSNR 26.147433
data/Set68/test016.png PSNR 26.907437
data/Set68/test017.png PSNR 31.855673
data/Set68/test018.png PSNR 31.996612
data/Set68/test019.png PSNR 26.354888
data/Set68/test020.png PSNR 27.508754
data/Set68/test021.png PSNR 25.069842
data/Set68/test022.png PSNR 25.862687
data/Set68/test023.png PSNR 27.512831
data/Set68/test024.png PSNR 27.546766
data/Set68/test025.png PSNR 28.447481
data/Set68/test026.png PSNR 27.712629
data/Set68/test027.png PSNR 28.966664
data/Set68/test028.png PSNR 31.815571
data/Set68/test029.png PSNR 22.367186
data/Set68/test030.png PSNR 28.830023
data/Set68/test031.png PSNR 23.090963
data/Set68/test032.png PSNR 25.573519
data/Set68/test033.png PSNR 26.388876
data/Set68/test034.png PSNR 32.458694
data/Set68/test035.png PSNR 27.009499
data/Set68/test036.png PSNR 26.402447
data/Set68/test037.png PSNR 27.474035
data/Set68/test038.png PSNR 27.987010
data/Set68/test039.png PSNR 31.754879
data/Set68/test040.png PSNR 28.228084
data/Set68/test041.png PSNR 26.577654
data/Set68/test042.png PSNR 28.314948
data/Set68/test043.png PSNR 29.375105
data/Set68/test044.png PSNR 25.934454
data/Set68/test045.png PSNR 32.145105
data/Set68/test046.png PSNR 25.171510
data/Set68/test047.png PSNR 25.536429
data/Set68/test048.png PSNR 28.422348
data/Set68/test049.png PSNR 30.636402
data/Set68/test050.png PSNR 25.708754
data/Set68/test051.png PSNR 27.233268
data/Set68/test052.png PSNR 31.035686
data/Set68/test053.png PSNR 30.217086
data/Set68/test054.png PSNR 27.981733
data/Set68/test055.png PSNR 26.571199
data/Set68/test056.png PSNR 22.320212
data/Set68/test057.png PSNR 27.022860
data/Set68/test058.png PSNR 30.012527
data/Set68/test059.png PSNR 29.216662
data/Set68/test060.png PSNR 29.961289
data/Set68/test061.png PSNR 28.906612
data/Set68/test062.png PSNR 32.380268
data/Set68/test063.png PSNR 25.161897
data/Set68/test064.png PSNR 25.674419
data/Set68/test065.png PSNR 27.995153
data/Set68/test066.png PSNR 36.660755
data/Set68/test067.png PSNR 23.533411
data/Set68/test068.png PSNR 24.608232

PSNR on test data 27.905709
