Loading model ...

Loading data info ...

data/Set68/test001.png PSNR 8.114850
data/Set68/test002.png PSNR 9.478665
data/Set68/test003.png PSNR 8.696302
data/Set68/test004.png PSNR 8.157536
data/Set68/test005.png PSNR 10.536018
data/Set68/test006.png PSNR 10.166069
data/Set68/test007.png PSNR 7.911037
data/Set68/test008.png PSNR 7.673248
data/Set68/test009.png PSNR 7.601407
data/Set68/test010.png PSNR 8.390930
data/Set68/test011.png PSNR 8.221021
data/Set68/test012.png PSNR 8.264292
data/Set68/test013.png PSNR 8.868630
data/Set68/test014.png PSNR 8.133960
data/Set68/test015.png PSNR 8.173010
data/Set68/test016.png PSNR 8.212002
data/Set68/test017.png PSNR 7.759994
data/Set68/test018.png PSNR 8.125739
data/Set68/test019.png PSNR 8.483115
data/Set68/test020.png PSNR 8.404066
data/Set68/test021.png PSNR 8.354736
data/Set68/test022.png PSNR 8.071841
data/Set68/test023.png PSNR 9.644534
data/Set68/test024.png PSNR 8.043054
data/Set68/test025.png PSNR 8.121612
data/Set68/test026.png PSNR 8.475574
data/Set68/test027.png PSNR 8.005172
data/Set68/test028.png PSNR 8.288586
data/Set68/test029.png PSNR 8.187189
data/Set68/test030.png PSNR 8.798580
data/Set68/test031.png PSNR 8.168799
data/Set68/test032.png PSNR 8.408018
data/Set68/test033.png PSNR 8.905034
data/Set68/test034.png PSNR 9.123849
data/Set68/test035.png PSNR 7.971041
data/Set68/test036.png PSNR 9.118397
data/Set68/test037.png PSNR 8.924788
data/Set68/test038.png PSNR 8.074447
data/Set68/test039.png PSNR 8.520134
data/Set68/test040.png PSNR 8.733769
data/Set68/test041.png PSNR 7.954180
data/Set68/test042.png PSNR 8.466628
data/Set68/test043.png PSNR 8.006903
data/Set68/test044.png PSNR 8.928129
data/Set68/test045.png PSNR 8.703842
data/Set68/test046.png PSNR 8.638755
data/Set68/test047.png PSNR 8.594796
data/Set68/test048.png PSNR 8.670170
data/Set68/test049.png PSNR 8.966048
data/Set68/test050.png PSNR 9.731173
data/Set68/test051.png PSNR 8.509334
data/Set68/test052.png PSNR 10.298988
data/Set68/test053.png PSNR 10.134767
data/Set68/test054.png PSNR 9.196588
data/Set68/test055.png PSNR 7.983166
data/Set68/test056.png PSNR 9.338269
data/Set68/test057.png PSNR 8.028639
data/Set68/test058.png PSNR 9.178200
data/Set68/test059.png PSNR 8.352175
data/Set68/test060.png PSNR 8.526279
data/Set68/test061.png PSNR 8.144565
data/Set68/test062.png PSNR 7.379164
data/Set68/test063.png PSNR 8.116368
data/Set68/test064.png PSNR 8.477834
data/Set68/test065.png PSNR 7.696085
data/Set68/test066.png PSNR 8.881992
data/Set68/test067.png PSNR 8.405143
data/Set68/test068.png PSNR 8.794065

PSNR on test data 8.550195
